manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Lexus,Es 300,Sedan,2003,1690000,174228,"C45 , Ibadan",automatic,Petrol,D,Nigerian used
Toyota,Matrix,Mpv,2007,2026000,196323,"C45 , Port Harcourt",automatic,Petrol,D,Nigerian used
Honda,Accord,Sedan,2004,1298000,139526,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Honda,Cr-V,Suv,1998,794000,295630,"C45 , Abuja",automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2012,3594000,117050,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Volkswagen,Touareg,Suv,2005,906000,111078,"C45 , Akure",automatic,Petrol,D,Nigerian used
Nissan,Almera,Sedan,2012,1242000,115595,"C45 , Ilorin",automatic,Petrol,C,Nigerian used
Mercedes-Benz,E350,Sedan,2013,5610000,59295,"C45 , Lagos",automatic,Petrol, ,Nigerian used
Honda,Accord,Sedan,2008,1298000,106501,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Lexus,Rx 330,Suv,2004,3258000,106602,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Acura,Tsx,Sedan,2010,3370000,124039,"C45 , Ibadan",automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2014,5498000,71503,"C45 , Lagos",automatic,Petrol, ,Foreign used
Toyota,Corolla,Sedan,2008,3258000,112973,"C45 , Lagos",automatic,Petrol, ,Foreign used
Toyota,Corolla,Sedan,2013,3706000,140143,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Opel,Zafira,Mpv,2002,2026000,255556,"C45 , Kaduna",manual,Petrol, ,Foreign used
Mercedes-Benz,Glk350,Suv,2010,6394000,226924,"C45 , Lagos",automatic,Petrol, ,Foreign used
Nissan,Sentra,Sedan,2013,2418000,97007,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Toyota,Corolla,Sedan,2003,1802000,299999,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Hyundai,Ix35,Suv,2012,2810000,70871,"C45 , Lagos",automatic,Petrol, ,Nigerian used
Acura,Rl,Sedan,2005,1578000,223014,"C45 , Lagos",automatic,Petrol,D,Foreign used
Toyota,Corolla,Sedan,2003,892560,216570,"C45 , Lagos",manual,Petrol,D,
Honda,Accord,Sedan,2015,4378000,62198,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Nissan,Murano,Suv,2005,939600,209193,"C45 , Kaduna",automatic,Petrol,D,Nigerian used
Toyota,Solara,Coupe,1999,1018000,228360,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Honda,Accord Crosstour,Crossover,2010,4042000,111559,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Toyota,Corolla,Sedan,2006,1410000,202684,C45,automatic,Petrol, ,Nigerian used
Toyota,Avensis,Sedan,2012,3930000,112978,C45,automatic,Petrol,C,Nigerian used
Hyundai,Sonata,Sedan,2011,2250000,46969,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Honda,Accord,Sedan,2007,1522000,111254,"C45 , Port Harcourt",automatic,Petrol, ,Nigerian used
Cadillac,Cts,Sedan,2008,2026000,91925,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Lexus,Is 250,Sedan,2007,3146000,213374,"C45 , Abuja",automatic,Petrol,C,Foreign used
Toyota,Corolla,Sedan,2005,3146000,186419,"C45 , Abuja",automatic,Petrol,D,Foreign used
Honda,Accord,Sedan,2003,1578000,224110,"C45 , Lagos",automatic,Petrol,D,Foreign used
Toyota,Avalon,Sedan,2006,1690000,201884,"C45 , Port Harcourt",automatic,Petrol,D,Nigerian used
Nissan,Murano,Suv,2010,1242000,73823,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Honda,Cr-V,Mpv,2008,1466000,125946,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Corolla,Sedan,2014,3258000,113357,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Toyota,Sienna,Mpv,2014,4490000,79829,"C45 , Lagos",automatic,Petrol, ,Nigerian used
Lexus,Gx 460,Suv,2014,19050000,48076,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Hyundai,Sonata,Sedan,2016,6282000,143168,"C45 , Benin",automatic,Petrol, ,Foreign used
Lexus,Es 350,Sedan,2010,4490000,111353,"C45 , Onitsha",semiautomatic,Diesel,D,Nigerian used
Honda,Pilot,Suv,2009,4322000,280547,"C45 , Lagos",automatic,Petrol,C,Foreign used
Toyota,Matrix,Hatchback,2005,1466000,125089,"C45 , Ibadan",automatic,Petrol,D,Nigerian used
Toyota,Highlander,Sedan,2001,1690000,107695,C45,automatic,Petrol,E,Nigerian used
Ford,Edge,Mpv,2008,1130000,105228,C45,automatic,Petrol,D,Nigerian used
Honda,Ridgeline,Truck,2008,3930000,63100,C45,automatic,Petrol, ,Foreign used
Lexus,Es 300,Sedan,2003,2250000,79002,"C45 , Ibadan",automatic,Petrol,C,Foreign used
Nissan,Quest,Mpv,2012,7626000,163439,"C45 , Lagos",automatic,Petrol, ,Foreign used
Toyota,Highlander,Mpv,2005,1690000,152329,"C45 , Ibadan",automatic,Petrol,D,Nigerian used
Kia,Rio,Sedan,2009,794000,109728,"C45 , Lagos",manual,Petrol,D,Nigerian used
Toyota,Sienna,Mpv,2006,2250000,213285,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Infiniti,FX35,Crossover,2004,1130000,163710,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Toyota,Avalon,Sedan,2000,1074000,254132,"C45 , Abuja",automatic,Petrol, ,Nigerian used
