manufacturer,model,year,price,mileage,location,transmission,fuel_type,grade,car_condition,car_age
Toyota,Corolla,2014,3594000,96405,Ibadan,manual,Petrol,D,Nigerian used,7
Toyota,Corolla,2006,2586000,96572,PortHarcourt,automatic,Petrol,D,Foreign used,15
Ford,Edge,2010,3314000,167842,Ibadan,automatic,Petrol,D,Foreign used,11
Hyundai,Sonata,2014,7290000,127534,Lagos,automatic,Petrol,C,Foreign used,7
Honda,Odyssey,2008,2810000,187801,Lagos,automatic,Petrol,C,Foreign used,13
Toyota,Camry,2015,7850000,81428,Ibadan,automatic,Petrol,C,Foreign used,6
Toyota,Camry,2015,7850000,90528,Ibadan,automatic,Petrol,D,Foreign used,6
Mitsubishi,Fuso,2013,5050000,235764,Lagos,manual,Diesel,D,Nigerian used,8
Toyota,Sienna,2008,1914000,77822,Lagos,automatic,Petrol,D,Nigerian used,13
Toyota,Avalon,2006,1858000,51200,Lagos,automatic,Petrol,D,Nigerian used,15
Toyota,Camry,2009,2597200,117810,Lagos,automatic,Petrol,E,Foreign used,12
Mazda,6,2017,6730000,40226,PortHarcourt,automatic,Petrol,E,Nigerian used,4
Honda,Odyssey,2009,1690000,201058,Kaduna,automatic,Petrol,D,Nigerian used,12
Landrover,Range Rover Evoque,2015,6170000,53802,Lagos,automatic,Petrol,E,Nigerian used,6
Toyota,Sienna,2002,1662000,262495,Onitsha,automatic,Petrol,D,Nigerian used,19
Hyundai,Elantra,2011,2138000,175758,Abuja,automatic,Petrol,D,Nigerian used,10
Landrover,Freelander,2008,3272500,101118,Lagos,automatic,Petrol,D,Nigerian used,13
Ford,Explorer,2006,1354000,199426,Onitsha,automatic,Petrol,D,Nigerian used,15
Toyota,Hilux,2006,4490000,114321,Lagos,manual,Petrol,C,Nigerian used,15
Toyota,Camry,2011,1914000,73049,Lagos,automatic,Petrol,D,Nigerian used,10
Toyota,Camry,2012,3706000,73463,Akure,automatic,Petrol,C,Nigerian used,9
Mercedes-Benz,B200,2008,2586000,157873,Lagos,automatic,Petrol,E,Nigerian used,13
Toyota,Sienna,2010,5274000,163027,Lagos,automatic,Petrol,C,Foreign used,11
BMW,3 Series,2006,1018000,203182,Abuja,automatic,Petrol,C,Nigerian used,15
Honda,Accord,2008,1802000,82284,Lagos,automatic,Petrol,E,Nigerian used,13
Nissan,Rogue,2008,2026000,117210,Ilorin,automatic,Petrol,C,Foreign used,13
Toyota,Sienna,2003,1466000,159956,Lagos,automatic,Petrol,D,Nigerian used,18
Honda,Odyssey,2005,2474000,209578,Lagos,automatic,Petrol,C,Foreign used,16
Mercedes-Benz,Cls550,2010,6170000,171674,Lagos,automatic,Petrol,C,Foreign used,11
Toyota,Sienna,2001,1130000,237519,Lagos,automatic,Petrol,E,Nigerian used,20
Toyota,Camry,2007,2586000,109502,Kaduna,automatic,Petrol,D,Nigerian used,14
Ford,Explorer,2015,4510000,68913,Lagos,automatic,Petrol,C,Nigerian used,6
Mazda,6,2004,794000,141060,Kaduna,automatic,Petrol,C,Nigerian used,17
Mercedes-Benz,C300,2008,3034000,123928,Lagos,automatic,Petrol,C,Nigerian used,13
Toyota,Corolla,2007,1522000,170315,Ibadan,automatic,Petrol,E,Nigerian used,14
BMW,X3,2008,1914000,134875,PortHarcourt,automatic,Petrol,E,Nigerian used,13
Honda,Accord,2009,1698000,83753,Lagos,automatic,Petrol,C,Nigerian used,12
Toyota,Sequoia,2006,2698000,88626,Ilorin,automatic,Petrol,C,Nigerian used,15
Ford,Focus,2012,1242000,66652,PortHarcourt,manual,Petrol,C,Nigerian used,9
Ford,Focus,2012,1858000,107252,Kaduna,automatic,Petrol,D,Nigerian used,9
Honda,Accord,2016,5834000,89444,Abuja,automatic,Petrol,D,Nigerian used,5
Nissan,Qashqai,2015,3930000,92299,Lagos,automatic,Petrol,C,Nigerian used,6
JAC,S7,2019,7850000,35403,Lagos,automatic,Petrol,C,Nigerian used,2
Lexus,Is 250,2007,2586000,228060,Ibadan,automatic,Petrol,C,Nigerian used,14
Mercedes-Benz,GLK350,2010,6730000,85953,Abuja,automatic,Petrol,C,Foreign used,11
Hyundai,Sonata,2013,3370000,160757,Ibadan,automatic,Petrol,D,Nigerian used,8
Mercedes-Benz,Clk350,2006,2530000,154140,Abuja,automatic,Petrol,C,Foreign used,15
Toyota,Corolla,2010,2866000,208829,Lagos,automatic,Petrol,D,Nigerian used,11
Toyota,Corolla,2009,2138000,65506,Kaduna,automatic,Petrol,D,Nigerian used,12
Volkswagen,Golf,1998,794000,197282,Ilorin,automatic,Petrol,D,Nigerian used,23
Toyota,Avalon,2013,6730000,71660,Abuja,automatic,Petrol,C,Foreign used,8
Ford,Edge,2007,2026000,187101,Lagos,automatic,Petrol,E,Nigerian used,14
Hyundai,Sonata,2006,794000,287757,Abuja,automatic,Petrol,E,Nigerian used,15
Toyota,Camry,2007,2306000,232664,Ibadan,automatic,Petrol,D,Nigerian used,14
Volvo,Xc90,2004,962000,159388,Ilorin,automatic,Petrol,E,Nigerian used,17
Toyota,Sienna,2004,2250000,216198,Lagos,semiautomatic,Petrol,D,Foreign used,17
Acura,Mdx,2007,3930000,86304,Lagos,automatic,Petrol,C,Foreign used,14
Pontiac,Vibe,2005,2362000,101160,Abuja,automatic,Petrol,C,Foreign used,16
Toyota,Camry,2013,3370000,88005,Lagos,automatic,Petrol,C,Nigerian used,8
Mitsubishi,Montero,2003,1130000,156455,Abuja,automatic,Petrol,C,Nigerian used,18
Toyota,Corolla,2005,1242000,314601,Abuja,automatic,Petrol,D,Nigerian used,16
Toyota,Camry,2012,3034000,44106,Lagos,automatic,Hybrid,E,Nigerian used,9
Nissan,Maxima,2005,906000,149054,PortHarcourt,automatic,Petrol,E,Nigerian used,16
Honda,Pilot,2003,1130000,212963,Ibadan,automatic,Petrol,E,Nigerian used,18
Honda,Accord,2008,1746000,199416,Lagos,automatic,Petrol,D,Nigerian used,13
Volkswagen,Passat,1999,1354000,200615,Ibadan,automatic,Petrol,E,Nigerian used,22
Acura,Mdx,2003,1578000,211478,Lagos,automatic,Petrol,C,Nigerian used,18
Peugeot,206,2003,1578000,140234,Abuja,automatic,Petrol,D,Nigerian used,18
Lexus,GS 350,2007,3370000,189425,Ibadan,automatic,Petrol,D,Nigerian used,14
Mercedes-Benz,C300,2010,4042000,143330,Abuja,automatic,Petrol,C,Nigerian used,11
Mazda,6,2004,962000,69333,Lagos,manual,Petrol,D,Nigerian used,17
Honda,Accord,2006,1354000,157153,Lagos,automatic,Petrol,C,Nigerian used,15
