manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Toyota,Corolla,Sedan,2013.0,3706000,140143.0,Lagos,automatic,Petrol,C,Nigerian used
Opel,Zafira,Mpv,2002.0,2026000,255556.0,Kaduna,manual,Petrol, ,Foreign used
Mercedes-Benz,GLK350,Suv,2010.0,6394000,226924.0,Lagos,automatic,Petrol, ,Foreign used
Nissan,Sentra,Sedan,2013.0,2418000,97007.0,Lagos,automatic,Petrol,C,Nigerian used
Toyota,Corolla,Sedan,2003.0,1802000,299999.0,Abuja,automatic,Petrol,C,Nigerian used
Hyundai,Ix35,Suv,2012.0,2810000,70871.0,Lagos,automatic,Petrol, ,Nigerian used
Acura,Rl,Sedan,2005.0,1578000,223014.0,Lagos,automatic,Petrol,D,Foreign used
Honda,Accord,Sedan,2015.0,4378000,62198.0,Lagos,automatic,Petrol,C,Nigerian used
Nissan,Murano,Suv,2005.0,939600,209193.0,Kaduna,automatic,Petrol,D,Nigerian used
Toyota,Solara,Coupe,1999.0,1018000,228360.0,Lagos,automatic,Petrol,D,Nigerian used
Honda,Accord Crosstour,Crossover,2010.0,4042000,111559.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Hyundai,Sonata,Sedan,2011.0,2250000,46969.0,Abuja,automatic,Petrol,C,Nigerian used
Honda,Accord,Sedan,2007.0,1522000,111254.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Cadillac,Cts,Sedan,2008.0,2026000,91925.0,Lagos,automatic,Petrol,C,Nigerian used
Lexus,Is 250,Sedan,2007.0,3146000,213374.0,Abuja,automatic,Petrol,C,Foreign used
Toyota,Corolla,Sedan,2005.0,3146000,186419.0,Abuja,automatic,Petrol,D,Foreign used
Honda,Accord,Sedan,2003.0,1578000,224110.0,Lagos,automatic,Petrol,D,Foreign used
Toyota,Avalon,Sedan,2006.0,1690000,201884.0,PortHarcourt,automatic,Petrol,D,Nigerian used
Nissan,Murano,Suv,2010.0,1242000,73823.0,Lagos,automatic,Petrol,D,Nigerian used
Honda,Cr-V,Mpv,2008.0,1466000,125946.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Corolla,Sedan,2014.0,3258000,113357.0,Lagos,automatic,Petrol,C,Nigerian used
Toyota,Sienna,Mpv,2014.0,4490000,79829.0,Lagos,automatic,Petrol, ,Nigerian used
Lexus,GX460,Suv,2014.0,19050000,48076.0,Lagos,automatic,Petrol,C,Nigerian used
Hyundai,Sonata,Sedan,2016.0,6282000,143168.0,Benin,automatic,Petrol, ,Foreign used
Lexus,Es 350,Sedan,2010.0,4490000,111353.0,Onitsha,semiautomatic,Diesel,D,Nigerian used
Honda,Pilot,Suv,2009.0,4322000,280547.0,Lagos,automatic,Petrol,C,Foreign used
Toyota,Matrix,Hatchback,2005.0,1466000,125089.0,Ibadan,automatic,Petrol,D,Nigerian used
Lexus,ES300,Sedan,2003.0,2250000,79002.0,Ibadan,automatic,Petrol,C,Foreign used
Nissan,Quest,Mpv,2012.0,7626000,163439.0,Lagos,automatic,Petrol, ,Foreign used
Toyota,Highlander,Mpv,2005.0,1690000,152329.0,Ibadan,automatic,Petrol,D,Nigerian used
Kia,Rio,Sedan,2009.0,794000,109728.0,Lagos,manual,Petrol,D,Nigerian used
Toyota,Sienna,Mpv,2006.0,2250000,213285.0,Abuja,automatic,Petrol,C,Nigerian used
Infiniti,FX35,Crossover,2004.0,1130000,163710.0,Lagos,automatic,Petrol,E,Nigerian used
Toyota,Avalon,Sedan,2000.0,1074000,254132.0,Abuja,automatic,Petrol, ,Nigerian used
Toyota,Sienna,Suv,2000.0,1354000,80582.0,PortHarcourt,automatic,Petrol,D,Nigerian used
Toyota,Camry,Sedan,2008.0,2810000,93133.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Matrix,Hatchback,2003.0,1690000,183690.0,Lagos,automatic,Petrol,D,Nigerian used
Toyota,Camry,Mpv,2010.0,2474000,110841.0,Asaba,automatic,Petrol, ,Nigerian used
Hyundai,Elantra,Sedan,2017.0,6282000,124028.0,Lagos,automatic,Petrol, ,Nigerian used
BMW,3 Series,Sedan,2011.0,1802000,67111.0,PortHarcourt,automatic,Petrol, ,Nigerian used
Acura,Rdx,Suv,2007.0,2474000,116124.0,Lagos,automatic,Petrol,C,Nigerian used
Nissan,Pathfinder,Suv,2006.0,2362000,193128.0,Lagos,automatic,Petrol,D,Nigerian used
Hyundai,Sonata,Sedan,2015.0,5498000,102206.0,PortHarcourt,automatic,Electric,C,Nigerian used
Mercedes-Benz,E200,Sedan,1998.0,458000,308042.0,Benin,automatic,Petrol, ,Nigerian used
Acura,Mdx,Suv,2003.0,794000,157313.0,Abuja,automatic,Petrol,E,Nigerian used
Lexus,Rx 300,Suv,2001.0,1578000,137763.0,Onitsha,automatic,Petrol,D,Nigerian used
Mercedes-Benz,C300,Sedan,2010.0,3997200,210520.0,Lagos,automatic,Petrol,C,Foreign used
Volkswagen,Golf,Sedan,1998.0,794000,291384.0,Abuja,manual,Petrol,E,Nigerian used
Toyota,Sienna,Mpv,2006.0,3370000,113847.0,Lagos,automatic,Petrol,D,Nigerian used
Ford,Explorer,Suv,2014.0,8522000,70851.0,Lagos,automatic,Petrol, ,Foreign used
Toyota,Camry,Sedan,2007.0,3258000,195538.0,Lagos,automatic,Petrol, ,Foreign used
